en,es
Disability Statistics Database (DS-E),Base de Datos de Estadísticas de Discapacidad (DS-E)
Language,Idioma
Change language,Cambiar idioma
English,Inglés
French,Francés
Spanish,Español
Russian,Ruso
Chinese,Chino
Arabic,Árabe
Home,Hogar
Countries (select multiple),Países 
Select all countries,Seleccionar todos los países
Reset countries,Restablecer países
Country (select single),País (seleccionar uno)
The Methods tab above has definitions and details about breakdowns,La pestaña métodos de arriba tiene definiciones y detalles sobre las desagregaciones
Select the subnational level,Seleccione el nivel subnacional
Indicators,Indicadores
Population Groups,Grupos de población
Disability breakdown,Desagregación por discapacidad
Disability group,Grupo de discapacidad
Other disability group,Otro grupo de discapacidad
Indicator scale,Escala de los indicadores
Pick a colour theme,Elige un tema de color
Cross-country estimates,Estimaciones entre países
Graph,Gráfico
Table,Tabla
Estimates within countries,Estimaciones dentro de los países
Map,Mapa
Methods,Métodos
Accessibility,Accesibilidad
Citation,Cita
"By using the Data, you agree to provide attribution to the DDI. Electronic publications will include a hyperlink to https://ds-e.disabilitydatainitiative.org/. Publications, whether printed, electronic or broadcast, based wholly or in part on the Data, will cite the source as follows:","Al utilizar los datos, usted acepta dar autoria a DDI. Las publicaciones electrónicas incluirán un hipervínculo a https://ds-e.disabilitydatainitiative.org/. Las publicaciones, ya sean impresas, electrónicas o de radiodifusión, basadas total o parcialmente en los datos de esta pagina citarán la fuente de la siguiente manera:"
"DDI. Disability Statistics – Estimates Database (DS-E Database). Disability Data Initiative collective. Fordham University: New York, USA. 2024.","DDI. Estadísticas de Discapacidad – Base de Datos de Estimaciones (Base de Datos DS-E). Disability Data Initiative. Universidad de Fordham: Nueva York, Estados Unidos. 2024."
"For the full terms and conditions, click the link below:","Para ver los términos y condiciones, haga clic en el siguiente enlace:"
Terms and conditions,Términos y condiciones
Graph showing,El gráfico muestra
Table showing,La tabla muestra
for,para
by,por
Map showing,El mapa muestra
at,en
Key message:,Mensaje clave:
Indicator definition:,Definición del indicador:
Insufficient Sample Size,Tamaño de muestra insuficiente
A blank cell indicates that the estimate is not available.,Una celda en blanco indica que la estimación no está disponible.
Data source(s):,Fuente(s) de datos:
Proportion with disabilities (Prevalence),Proporción de personas con discapacidad (Prevalencia)
Education,Educación
Health,Salud
Personal activities,Actividades personales
Standard of living,Nivel de vida
Insecurity,Inseguridad
Adults with disabilities,Adultos con discapacidades
Households with disabilities,Hogares con miembros con discapacidad
Ever attended school,Alguna vez asistió a la escuela
Primary school or higher,Nivel de educación primaria o superior
Secondary school or higher,Nivel de educación secundaria o superior
Literacy,Alfabetismo
Water,Agua
Sanitation,Saneamiento
Family planning,Planificación familiar
Violence,Violencia
Computer,Computador
Internet,Internet
Own mobile,Telefono celular
Employment,Empleo
Youth idle,Joven trabajando o estudiando
Manufacturing work,Trabajos de manufactura
Managerial work,Trabajo gerencial
Informal work,Trabajo informal
Electricity,Electricidad
Clean cooking fuel,Combustible de cocina limpio
Adequate housing,Vivienda adecuada
Assets owned,Activos propios
Household mobile,Telefono celular en el hogar
Health insurance,Seguro de salud
Social protection,Protección social
Food insecure,Inseguridad alimentaria
Experienced shock,Choque experimentado
Health expenditures,Gastos en salud
Multidimensional poverty,Pobreza multidimensional
"The proportion of adults with disabilities varies across countries, with the lowest at 5%, the highest at 33%, and the median at 14.2%. ","La proporción de adultos con discapacidad varía de un país a otro, siendo la más baja del 5%, la más alta del 33% y la mediana del 14,2%."
"The proportion of households who have at least one adult with disabilities varies across countries with the lowest at 10.4%, the highest at 61.7%, and the median at 28.5%.","La proporción de hogares que tienen al menos un adulto con discapacidad varía de un país a otro, siendo el más bajo (10,4%), el más alto (61,7%) y la mediana (28,5%)."
"The proportion of adults who have ever been to school is lower among adults with disabilities, than among adults without disabilities.",La proporción de adultos que alguna vez han ido a la escuela es menor entre los adultos con discapacidades que entre los adultos sin discapacidades.
"The proportion of adults who at least completed primary school is lower among adults with disabilities, than among adults without disabilities.",La proporción de adultos que al menos terminaron la escuela primaria es menor entre los adultos con discapacidad que entre los adultos sin discapacidad.
"The proportion of adults who at least completed upper secondary school is lower among adults with disabilities, than among adults without disabilities.",La proporción de adultos que al menos terminaron la escuela secundaria superior es menor entre los adultos con discapacidad que entre los adultos sin discapacidad.
"The proportion of adults who can read and write in any language is lower among adults with disabilities, than among adults without disabilities.",La proporción de adultos que pueden leer y escribir en cualquier idioma es menor entre los adultos con discapacidades que entre los adultos sin discapacidades.
"Across countries, the proportion of adults who live in households who have safely managed drinking water is similar, lower or higher for adults with disabilities, compared to adults without disabilities. There is no consistent pattern in the countries under study.","En todos los países, la proporción de adultos que viven en hogares con acceso a agua potable de forma segura es similar, menor o mayor en el caso de los adultos con discapacidad, en comparación con los adultos sin discapacidad. No existe un patrón consistente en los países estudiados."
"Across countries, the proportion of adults who live in households who have safely managed sanitation services is similar, lower or higher for adults with disabilities, compared to adults without disabilities. There is no consistent pattern in the countries under study.","En todos los países, la proporción de adultos que viven en hogares que cuentan con servicios de saneamiento gestionados de forma segura es similar, menor o mayor en el caso de los adultos con discapacidad, en comparación con los adultos sin discapacidad. No existe un patrón consistente en los países estudiados."
"Across countries, the proportion of women who report that they have their family planning needs met. In other words, women who want and have access to modern contraceptive methods, is similar, lower or higher for women with disabilities, compared to women without disabilities. There is no consistent pattern in the countries under study.","En todos los países, la proporción de mujeres que declaran tener satisfechas sus necesidades de planificación familiar. En otras palabras, las mujeres que quieren y tienen acceso a métodos anticonceptivos modernos, es similar, menor o mayor para las mujeres con discapacidad, en comparación con las mujeres sin discapacidad. No existe un patrón consistente en los países estudiados."
