en,ru
Disability Statistics Database (DS-E),База статистических данных по инвалидности (DS-E)
Language,Язык
Change language,Изменение языка
English,Английский
French,Французский
Spanish,Испанский
Russian,Русский
Chinese,Китайский
Arabic,Арабский
Home,Главная страница
Countries (select multiple),Страны (выбрать несколько)
Select all countries,Выбрать все страны
Reset countries,Сбросить страны
Country (select single),Страна (выбрать одну)
The Methods tab above has definitions and details about breakdowns,Вкладка Методы выше содержит определения и подробную информацию о разбивках
Select the subnational level,Выбрать субнациональный уровень
Indicators,Показатели
Population Groups,Группы населения
Disability breakdown,Разбивка по инвалидности
Disability group,Группа инвалидности
Other disability group,Другая группа инвалидности
Indicator scale,Шкала показателей
Pick a colour theme,Выбрать цветовую гамму
Cross-country estimates,Межстрановые оценки
Graph,График
Table,Таблица
Estimates within countries,Оценки внутри стран
Map,Карта
Methods,Таблица
Accessibility,Доступность
Citation,Таблица
"By using the Data, you agree to provide attribution to the DDI. Electronic publications will include a hyperlink to https://ds-e.disabilitydatainitiative.org/. Publications, whether printed, electronic or broadcast, based wholly or in part on the Data, will cite the source as follows:","Используя Данные, вы соглашаетесь с указанием авторства DDI. Электронные публикации будут содержать гиперссылку на https://ds-e.disabilitydatainitiative.org/. Публикации, будь то печатные, электронные или вещательные, основанные полностью или частично на Данных, должны ссылаться на источник следующим образом:"
"DDI. Disability Statistics – Estimates Database (DS-E Database). Disability Data Initiative collective. Fordham University: New York, USA. 2024.","DDI. Статистика инвалидности – база данных оценок (база данных DS-E). Коллектив Инициативы по данным об инвалидности. Фордхэмский университет: Нью-Йорк, США. 2024."
"For the full terms and conditions, click the link below:","Для ознакомления с полными условиями и положениями, нажмите на ссылку ниже:"
Terms and conditions,Положения и условия
Graph showing,На графике показаны
Table showing,На таблице показаны
for,для
by,по
Map showing,На карте показаны 
at,по
Key message:,Ключевой посыл:
Indicator definition:,Определение показателя
Insufficient Sample Size,Недостаточный размер выборки
A blank cell indicates that the estimate is not available.,"Пустая ячейка указывает на то, что оценка недоступна."
Data source(s):,Источник(и) данных:
Proportion with disabilities (Prevalence),Доля людей с инвалидностью (распространенность)
Education,Образование
Health,Здоровье
Personal activities,Личная деятельность
Standard of living,Уровень жизни
Insecurity,Небезопасность
Adults with disabilities,Взрослые с инвалидностью
Households with disabilities,Домохозяйства людей с инвалидностью
